hotel,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adults,children,babies,country,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,1,2,1,0,ESP,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,1,1,0,0,NULL,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,1,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,2,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,2,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ROU,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ROU,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,NOR,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,NOR,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,OMN,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ESP,,,,,,,,,
